ndvi,sr,rendvi,vog1,vog2,vog3,bri,mcari,mcari2,mtvi,mtvi2,tcari,tvi,ari1,ari2,wbi,ndwi,msi,ndii,clsi,mcai,osvi,gemi,dvi,gdvi,gndvi,grvi,ipvi,rdvi,msr,nli,mnli,savi,tdvi,gmi1,gmi2,g,lic1,nri1510,nri1850,wi,dwsi4,crt2,zmi,lsi,pri,ndci
0.3413,2.0563,0.2702,1.2515,-0.064,-0.0669,-1.0701,0.039,0.5504,0.9818,0.4403,0.0186,30.6277,-0.906,-0.7838,1.0036,0.0122,1.0036,0.1052,-0.903,-2584.5972,0.3383,0.3383,0.4319,0.1725,0.1123,1.2552,0.6707,0.3838,0.5999,0.2658,0.2777,0.3668,0.9168,1.1523,1.8583,1.5971,0.3396,0.0623,0.3144,0.5691,1.6358,0.5135,1.581,1.0192,0.0578,0.0396
0.3464,2.0906,0.2761,1.2489,-0.06,-0.0627,-1.0072,0.0456,0.5546,1.0011,0.4437,0.0334,33.0316,-0.8735,-0.7614,1.0031,0.0109,1.0031,0.0992,-0.945,-3769.9561,0.3432,0.3432,0.4464,0.1859,0.1189,1.2731,0.6732,0.3931,0.6138,0.2809,0.2781,0.3741,0.9194,1.2103,1.933,1.6024,0.3463,0.0633,0.3157,0.5727,1.6376,0.4952,1.5885,1.0275,0.0457,0.0234
0.3671,2.2093,0.3003,1.3146,-0.0836,-0.088,-1.2098,0.0378,0.5906,1.0602,0.4725,0.0078,32.9098,-1.0572,-0.929,1.0063,0.0148,1.0063,0.113,-0.9328,-2897.1524,0.3663,0.3663,0.4793,0.1945,0.1282,1.2984,0.6836,0.4144,0.6649,0.317,0.3346,0.3953,0.9303,1.1788,2.0114,1.6679,0.3658,0.0585,0.3399,0.5244,1.7099,0.4845,1.7194,1.0194,0.0502,0.0592
0.3407,2.0691,0.2804,1.2697,-0.0677,-0.0709,-1.0829,0.0381,0.5549,1.0006,0.444,0.0142,32.5577,-0.9428,-0.7949,1.0038,0.0112,1.0038,0.0931,-0.9306,-3074.1856,0.3414,0.3414,0.4366,0.1756,0.1141,1.2599,0.6703,0.3872,0.6055,0.2709,0.2905,0.3697,0.9164,1.1878,1.9251,1.6025,0.3435,0.0636,0.3112,0.5571,1.6386,0.4965,1.6238,1.0294,0.0439,0.0398
0.3289,1.9921,0.2572,1.2444,-0.0618,-0.0644,-1.0198,0.0388,0.5272,0.9363,0.4218,0.0215,29.4623,-0.8521,-0.7133,1.005,0.0143,1.005,0.1024,-0.8921,-2533.2801,0.3241,0.3241,0.4173,0.1637,0.1083,1.2443,0.6644,0.3686,0.5709,0.2506,0.2603,0.3528,0.9101,1.152,1.8115,1.5663,0.3276,0.0594,0.3054,0.586,1.5996,0.5248,1.552,1.013,0.053,0.0351
0.3604,2.224,0.297,1.3217,-0.0911,-0.0958,-1.113,0.0394,0.5849,1.0618,0.4679,0.012,32.8125,-0.9848,-0.8754,1.0096,0.0227,1.0096,0.134,-0.9183,-3263.2407,0.3621,0.3621,0.4842,0.2068,0.1298,1.3015,0.6802,0.4112,0.6743,0.3214,0.3415,0.3904,0.9269,1.1778,2.0119,1.6304,0.3593,0.0426,0.3377,0.5224,1.6722,0.4902,1.7126,1.0115,0.0629,0.0499
0.3346,2.0213,0.2409,1.2023,-0.0471,-0.0489,-0.9166,0.0459,0.5263,0.9458,0.4211,0.0459,30.1413,-0.7822,-0.6687,1.0051,0.0144,1.0051,0.1047,-0.9294,-2937.9459,0.3265,0.3265,0.4281,0.1776,0.1154,1.2621,0.6673,0.3784,0.5843,0.263,0.2757,0.3608,0.9132,1.1754,1.7958,1.563,0.3333,0.0508,0.2992,0.5825,1.5997,0.5203,1.4807,1.0132,0.0465,0.0128
0.3403,2.0534,0.2921,1.2834,-0.0732,-0.0768,-1.0885,0.0367,0.5605,0.9918,0.4484,0.009,31.9849,-0.9375,-0.8185,1.0028,0.0074,1.0028,0.0947,-0.9183,-3096.0485,0.3461,0.3461,0.4327,0.1734,0.1129,1.2568,0.6702,0.3879,0.5982,0.2671,0.2796,0.3663,0.9162,1.1793,1.946,1.5806,0.3399,0.0594,0.3181,0.5495,1.6182,0.5,1.6551,1.0325,0.0485,0.0486
0.365,2.185,0.2943,1.2935,-0.0758,-0.0796,-1.0797,0.0407,0.5797,1.0464,0.4637,0.0205,33.0345,-0.9663,-0.8544,1.0071,0.0178,1.0071,0.1175,-0.9293,-3513.3565,0.3643,0.3643,0.4769,0.2056,0.1335,1.3054,0.6825,0.414,0.6567,0.3064,0.3314,0.3941,0.9294,1.1986,1.9815,1.6326,0.364,0.0647,0.3387,0.5453,1.6679,0.4848,1.674,1.0107,0.0583,0.0418
0.3607,2.1649,0.2912,1.2904,-0.075,-0.0788,-1.0878,0.0401,0.5721,1.0351,0.4577,0.021,32.6686,-0.9404,-0.8328,1.0074,0.0174,1.0074,0.1156,-0.9221,-3554.0155,0.3612,0.3612,0.4669,0.209,0.1315,1.311,0.6804,0.4102,0.6473,0.3031,0.3211,0.3901,0.927,1.2032,1.9651,1.6122,0.3593,0.064,0.3358,0.5501,1.646,0.4895,1.666,1.0115,0.0567,0.0429
