ndvi,sr,rendvi,vog1,vog2,vog3,bri,mcari,mcari2,mtvi,mtvi2,tcari,tvi,ari1,ari2,wbi,ndwi,msi,ndii,clsi,mcai,osvi,gemi,dvi,gdvi,gndvi,grvi,ipvi,rdvi,msr,nli,mnli,savi,tdvi,gmi1,gmi2,g,lic1,nri1510,nri1850,wi,dwsi4,crt2,zmi,lsi,pri,ndci
0.3381,2.0471,0.2724,1.2495,-0.0605,-0.0632,-1.0087,0.0414,0.542,0.9545,0.4336,0.0282,31.345,-0.867,-0.7423,1.0031,0.0121,1.0031,0.1009,-0.9256,-3391.4515,0.3363,0.3363,0.4314,0.1798,0.117,1.2674,0.6691,0.3819,0.5944,0.2651,0.278,0.3643,0.9149,1.2037,1.9076,1.5824,0.3383,0.0579,0.3086,0.5657,1.5968,0.5023,1.5848,1.0206,0.0461,0.0212
0.3441,2.0781,0.2791,1.2606,-0.0652,-0.0682,-0.9609,0.0415,0.5532,0.991,0.4426,0.0249,32.3905,-0.8224,-0.7785,1,0.0056,1,0.0936,-0.9349,-3474.9663,0.3408,0.3408,0.4378,0.1834,0.1143,1.2612,0.672,0.388,0.6082,0.2716,0.2849,0.3703,0.9181,1.1933,1.9289,1.5513,0.3442,0.0692,0.3146,0.5654,1.5903,0.4981,1.609,1.0348,0.0515,0.0363
0.3364,2.0415,0.2774,1.2696,-0.0678,-0.071,-0.9913,0.0367,0.5416,0.9705,0.4333,0.015,31.4503,-0.8469,-0.7257,0.9999,0.0049,0.9999,0.0923,-0.9205,-3282.5523,0.3347,0.3347,0.4294,0.1829,0.1189,1.2728,0.6682,0.38,0.5912,0.2639,0.2767,0.3624,0.9139,1.1957,1.9061,1.5527,0.336,0.0552,0.3087,0.5506,1.5871,0.5059,1.6143,1.0389,0.0429,0.0497
0.3346,2.0213,0.2409,1.2023,-0.0471,-0.0489,-0.9166,0.0459,0.5263,0.9458,0.4211,0.0459,30.1413,-0.7822,-0.6687,1.0051,0.0144,1.0051,0.1047,-0.9294,-2937.9459,0.3265,0.3265,0.4281,0.1776,0.1154,1.2621,0.6673,0.3784,0.5843,0.263,0.2757,0.3608,0.9132,1.1754,1.7958,1.563,0.3333,0.0508,0.2992,0.5825,1.5997,0.5203,1.4807,1.0132,0.0465,0.0128
0.3512,2.1173,0.2811,1.275,-0.0697,-0.073,-1.1847,0.0398,0.5749,1.021,0.4599,0.0144,31.9035,-0.9761,-0.8328,1.003,0.0088,1.003,0.101,-0.9167,-2652.8466,0.3483,0.3483,0.4415,0.1769,0.1165,1.2632,0.6756,0.3936,0.6254,0.2766,0.2886,0.3767,0.9219,1.1592,1.9218,1.6535,0.35,0.0653,0.3231,0.5513,1.6948,0.5004,1.631,1.0269,0.0519,0.0515
0.3546,2.1311,0.276,1.2685,-0.0676,-0.0707,-1.1616,0.0395,0.5569,0.9916,0.4455,0.0199,30.8875,-0.9861,-0.8407,1.0031,0.0126,1.0031,0.1049,-0.9076,-2792.9285,0.3465,0.3465,0.4398,0.1821,0.1189,1.2733,0.6773,0.3918,0.6325,0.2738,0.286,0.3748,0.9238,1.1646,1.9004,1.64,0.353,0.064,0.3222,0.5506,1.6744,0.5044,1.6154,1.0256,0.0492,0.0511
0.3551,2.1345,0.2891,1.3007,-0.0837,-0.0879,-1.0965,0.0387,0.5727,1.0237,0.4581,0.0145,31.6783,-0.9545,-0.8347,1.0075,0.0185,1.0075,0.1252,-0.9013,-2902.7425,0.355,0.355,0.453,0.1869,0.1198,1.2752,0.6775,0.399,0.6339,0.2886,0.3047,0.3798,0.924,1.166,1.9192,1.6119,0.3539,0.0441,0.3314,0.5361,1.6509,0.4984,1.6781,1.0163,0.0623,0.0486
0.3241,1.9768,0.2551,1.2546,-0.0669,-0.0698,-0.9948,0.0375,0.5229,0.9349,0.4183,0.0172,28.9973,-0.8389,-0.7017,1.0031,0.0108,1.0031,0.1035,-0.8821,-2480.0664,0.3225,0.3225,0.413,0.1689,0.1105,1.2505,0.6621,0.3658,0.5622,0.2477,0.2592,0.349,0.9074,1.1468,1.7894,1.5446,0.3228,0.053,0.3014,0.5793,1.573,0.532,1.5666,1.0226,0.0548,0.0472
0.3555,2.1227,0.2649,1.2189,-0.0516,-0.0537,-1.1484,0.048,0.5736,1.0141,0.4589,0.0388,32.2269,-0.9615,-0.808,1.0025,0.011,1.0025,0.1004,-0.9424,-2528.7177,0.3466,0.3466,0.4405,0.1594,0.104,1.2343,0.6777,0.3956,0.6312,0.276,0.2858,0.3797,0.9245,1.1488,1.8997,1.6756,0.354,0.0608,0.3167,0.5553,1.7175,0.4948,1.5383,1.0208,0.0505,0.0217
0.3272,1.9862,0.259,1.2526,-0.0632,-0.0664,-1.0221,0.0377,0.5239,0.9326,0.4191,0.0205,29.5029,-0.8575,-0.7057,1.0041,0.0134,1.0041,0.1014,-0.8937,-2735.0998,0.324,0.324,0.4137,0.1726,0.1142,1.2591,0.6636,0.3645,0.5677,0.247,0.2571,0.3484,0.9092,1.1677,1.8091,1.5605,0.3259,0.0626,0.3029,0.5859,1.5905,0.5275,1.5625,1.0144,0.0466,0.0373
