ID,Target
2mM-14DAS-Rep1,497.0484
2mM-14DAS-Rep2,533.124
2mM-14DAS-Rep3,589.3956
2mM-14DAS-Rep4,581.0904
2mM-14DAS-Rep5,650.538
5mM-14DAS-Rep1,554.6232
5mM-14DAS-Rep2,549.4644
5mM-14DAS-Rep3,643.0968
5mM-14DAS-Rep4,549.8856
5mM-14DAS-Rep5,572.364
10mM-14DAS-Rep1,640.278
10mM-14DAS-Rep2,625.8744
10mM-14DAS-Rep3,680.688
10mM-14DAS-Rep4,703.0512
10mM-14DAS-Rep5,622.6524
20mM-14DAS-Rep1,691.5816
20mM-14DAS-Rep2,698.7744
20mM-14DAS-Rep3,718.4736
20mM-14DAS-Rep4,773.8992
20mM-14DAS-Rep5,657.1548
2mM-21DAS-Rep1,459.072
2mM-21DAS-Rep2,549.0216
2mM-21DAS-Rep3,484.4448
2mM-21DAS-Rep4,538.0884
2mM-21DAS-Rep5,546.2784
5mM-21DAS-Rep1,605.2356
5mM-21DAS-Rep2,598.3884
5mM-21DAS-Rep3,648.0432
5mM-21DAS-Rep4,643.4784
5mM-21DAS-Rep5,607.4604
10mM-21DAS-Rep1,711.162
10mM-21DAS-Rep2,685.5768
10mM-21DAS-Rep3,647.7552
10mM-21DAS-Rep4,714.978
10mM-21DAS-Rep5,666.6084
20mM-21DAS-Rep1,683.8308
20mM-21DAS-Rep2,709.3008
20mM-21DAS-Rep3,821.9016
20mM-21DAS-Rep4,745.3188
20mM-21DAS-Rep5,730.5696
2mM-28DAS-Rep1,445.1616
2mM-28DAS-Rep2,481.2768
2mM-28DAS-Rep3,396.198
2mM-28DAS-Rep4,509.4324
2mM-28DAS-Rep5,413.8236
5mM-28DAS-Rep1,530.28
5mM-28DAS-Rep2,621.036
5mM-28DAS-Rep3,625.4856
5mM-28DAS-Rep4,575.1396
5mM-28DAS-Rep5,682.2936
10mM-28DAS-Rep1,626.31
10mM-28DAS-Rep2,562.788
10mM-28DAS-Rep3,584.8056
10mM-28DAS-Rep4,554.292
10mM-28DAS-Rep5,599.5548
20mM-28DAS-Rep1,648.2124
20mM-28DAS-Rep2,634.4604
20mM-28DAS-Rep3,663.1524
20mM-28DAS-Rep4,698.2128
20mM-28DAS-Rep5,616.0104
2mM-35DAS-Rep1,485.4384
2mM-35DAS-Rep2,544.3956
2mM-35DAS-Rep3,514.917
2mM-35DAS-Rep4,475.729632
2mM-35DAS-Rep5,533.507688
5mM-35DAS-Rep1,746.676
5mM-35DAS-Rep2,678.3048
5mM-35DAS-Rep3,712.4904
5mM-35DAS-Rep4,731.74248
5mM-35DAS-Rep5,664.738704
10mM-35DAS-Rep1,765.3204
10mM-35DAS-Rep2,742.5936
10mM-35DAS-Rep3,753.957
10mM-35DAS-Rep4,750.013992
10mM-35DAS-Rep5,727.741728
20mM-35DAS-Rep1,737.6256
20mM-35DAS-Rep2,769.77
20mM-35DAS-Rep3,753.6978
20mM-35DAS-Rep4,722.873088
20mM-35DAS-Rep5,754.3746
